Key,2014,2013,2012,2011,Start,Grade,Pay/Free/Unk/NA,APC,Note,Subject,Group,Area
AP436147,23,43,40,35,1998,A,P,"$1,316 ",,Medicine,M,M
AP231538,12,22,21,23,1998,A,P,$995 ,,Biology,B,M
AP232147,11,21,23,20,2010,A,P,$995 ,,Technology,E&T,S
AP363487,14,36,,,2013,A,P,$980 ,,Chemistry,Sci,S
AP976187,69,93,89,97,2002,A,P,$975 ,,Anthropology,SS,H
AP145698,92,145,102,100,2004,A,P,$975 ,,Ecology,E&L,S
AP104909,40,61,56,104,1992,A,P,$960 ,,Agriculture,E&L,S
AP591330,246,591,309,199,1997,A,P,$955 ,,Mathematics,M&C,S
AP3517149,137,351,233,162,2004,A,P,$955 ,,Mathematics,M&C,S
AP211391,5,21,,,2013,A,P,$953 ,,Medicine,M,M
AP1061085,47,99,104,106,1995,A,P,$943 ,,Zoology,E&L,S
AP338836,30,33,27,21,2010,A,P,$925 ,,Medicine,M,M
AP242282,8,24,21,,2012,A,P,$890 ,,Computer science,M&C,S
AP45010,2,4,,,2013,A,P,$890 ,,Science,Sci,S
AP759293,75,66,65,52,2010,A,P,$883 ,,Agriculture,E&L,S
AP865362,36,75,81,86,2004,A,P,$883 ,,Medicine,M,M
AP2274219,61,89,69,227,2009,A,P,$883 ,,Medicine,M,M
AP326420,17,32,6,,2012,A,P,$883 ,,Medicine,M,M
AP378604,17,32,23,37,2009,A,P,$883 ,,Miscellany,Gen,G
AP1031180,16,103,87,,2012,A,P,$880 ,,Medicine,M,M
AP605286,29,60,53,45,2007,A,P,$870 ,,Medicine,M,M
AP185943,4,12,18,,2012,A,P,$867 ,,Biology,B,M
AP1801387,74,168,180,148,2003,A,P,$864 ,,Medicine,M,M
AP1444840,53,144,118,123,1967,A,P,$850 ,,Medicine,M,M
AP511949,21,49,51,39,2003,A,P,$850 ,,Medicine,M,M
AP897241,46,89,73,53,2009,A,P,$850 ,,Medicine,M,M
AP20322,20,19,16,16,2000,A,P,$850 ,,Zoology,E&L,S
AP416596,9,20,41,10,1995,A,P,$830 ,,Agriculture,E&L,S
AP3028115,146,302,263,270,1986,A,P,$826 ,,Medicine,M,M
AP3798629,171,379,232,68,2004,A,P,$820 ,,Mathematics,M&C,S
AP479308,30,47,38,37,2008,A,P,$800 ,,Agriculture,E&L,S
AP1059574,22,57,105,27,2010,A,P,$800 ,,Biology,B,M
AP1082745,15,16,25,108,2010,A,P,$800 ,,Biology,B,M
AP632612,36,29,63,39,2010,A,P,$800 ,,Biology,B,M
AP1085675,55,46,108,,2012,A,P,$800 ,,Biology,B,M
AP136040,13,12,12,11,2004,A,P,$800 ,,Medicine,M,M
AP1002306,27,30,100,47,2007,A,P,$800 ,,Medicine,M,M
AP1077676,13,63,107,75,2010,A,P,$800 ,,Medicine,M,M
AP1214647,21,30,105,121,2010,A,P,$800 ,,Medicine,M,M
AP125884,29,26,86,125,2010,A,P,$800 ,,Medicine,M,M
AP1309006,48,110,130,112,2010,A,P,$800 ,,Medicine,M,M
AP1383098,23,24,100,138,2010,A,P,$800 ,,Medicine,M,M
AP1536177,15,33,153,76,2010,A,P,$800 ,,Medicine,M,M
AP1543763,51,69,154,51,2010,A,P,$800 ,,Medicine,M,M
AP306952,24,25,30,19,2010,A,P,$800 ,,Medicine,M,M
AP326201,26,32,23,25,2010,A,P,$800 ,,Medicine,M,M
AP399878,16,14,39,25,2010,A,P,$800 , ,Medicine,M,M
AP4072,22,37,40,23,2010,A,P,$800 ,,Medicine,M,M
AP525335,17,27,52,52,2010,A,P,$800 ,,Medicine,M,M
AP532556,11,43,53,52,2010,A,P,$800 ,,Medicine,M,M
AP582469,13,33,58,27,2010,A,P,$800 ,,Medicine,M,M
AP60739,31,21,60,38,2010,A,P,$800 ,,Medicine,M,M
AP616264,25,28,61,32,2010,A,P,$800 ,,Medicine,M,M
AP644155,36,33,64,40,2010,A,P,$800 ,,Medicine,M,M
AP645309,17,25,64,24,2010,A,P,$800 ,,Medicine,M,M
AP664580,19,22,66,60,2010,A,P,$800 ,,Medicine,M,M
AP688841,18,43,68,64,2010,A,P,$800 ,,Medicine,M,M
AP713780,26,41,71,58,2010,A,P,$800 ,,Medicine,M,M
AP791361,25,68,79,28,2010,A,P,$800 ,,Medicine,M,M
AP822224,22,30,82,33,2010,A,P,$800 ,,Medicine,M,M
AP824787,20,22,82,32,2010,A,P,$800 ,,Medicine,M,M
AP884275,32,81,88,41,2010,A,P,$800 ,,Medicine,M,M
AP993942,38,25,99,39,2010,A,P,$800 ,,Medicine,M,M
AP253978,25,19,17,8,2011,A,P,$800 ,,Medicine,M,M
AP426370,17,20,27,42,2011,A,P,$800 ,,Medicine,M,M
AP47537,17,25,35,47,2011,A,P,$800 , ,Medicine,M,M
AP898321,21,74,89,24,2011,A,P,$800 ,,Medicine,M,M
AP298449,20,29,,,2013,A,P,$800 ,,Medicine,M,M
AP944508,58,23,48,94,2010,A,P,$800 ,,Zoology,E&L,S
AP2747048,132,274,152,70,2005,A,P,$795 ,,Mathematics,M&C,S
AP864459,59,86,80,61,2002,A,P,$791 ,,Zoology,E&L,S
AP527250,27,51,52,34,2004,A,P,$780 ,,Medicine,M,M
AP1149967,43,94,114,88,1977,A,P,$764 ,,Biology,B,M
AP228971,5,14,16,22,2007,A,P,$762 ,,Medicine,M,M
AP107619,3,5,5,10,2010,A,P,$752 ,,Medicine,M,M
AP1248325,39,87,124,111,2007,A,P,$751 ,,Medicine,M,M
AP1281557,72,122,128,122,2008,A,P,$751 ,,Medicine,M,M
AP661027,36,39,46,66,2009,A,P,$751 ,,Medicine,M,M
AP748354,34,74,53,51,2009,A,P,$751 ,,Medicine,M,M
AP803686,35,74,80,75,2010,A,P,$751 ,,Medicine,M,M
AP283415,22,24,28,3,2011,A,P,$751 ,,Medicine,M,M
AP1175101,51,117,,,2013,A,P,$750 ,,Agriculture,E&L,S
AP451666,31,41,45,,2012,A,P,$750 ,,Medicine,M,M
AP325065,24,21,32,,2012,A,P,$747 ,,Medicine,M,M
AP1079567,30,107,103,105,2003,A,P,$738 ,,Medicine,M,M
AP198411,8,16,19,9,2006,A,P,$705 ,,Engineering,E&T,S
AP832622,53,83,60,50,1996,A,P,$703 ,,Medicine,M,M
AP377472,7,31,30,37,2004,A,P,$700 ,,Biology,B,M
AP89424,3,5,8,8,2006,A,P,$700 ,,Medicine,M,M
AP235220,23,16,10,9,2009,A,P,$698 ,,Medicine,M,M
AP1469652,75,125,146,140,1920,A,P,$691 ,,Medicine,M,M
AP89442,8,2,,,2013,A,P,$690 ,,Economics,SS,H
AP167896,4,16,14,15,2001,A,P,$669 ,,Earth Sciences,E&L,S
AP1028326,36,102,78,48,2005,A,P,$662 ,,Medicine,M,M
AP727376,13,39,72,46,2001,A,P,$660 ,,Medicine,M,M
AP604388,29,53,60,55,1991,A,P,$654 ,,Medicine,M,M
AP25301724,336,995,2044,2530,2002,A,P,$650 ,,Biology,B,M
AP1031656,28,83,103,103,2003,A,P,$650 ,,Computer science,M&C,S
AP504305,26,50,42,4,2011,A,P,$650 ,,Medicine,M,M
AP778208,32,66,77,51,2009,A,P,$645 ,,Medicine,M,M
AP268127,26,19,,,2013,A,P,$640 ,,Medicine,M,M
AP223773,12,22,22,13,2010,A,P,$630 ,,Medicine,M,M
AP33855,19,33,12,9,2010,A,P,$623 ,,Biology,B,M
AP38246,17,38,27,22,2000,A,P,$622 ,,Medicine,M,M
AP191732,5,12,19,18,2010,A,P,$619 ,,Medicine,M,M
AP1904410,55,190,121,120,1993,A,P,$605 ,,Medicine,M,M
AP9029445,272,885,796,902,2006,A,P,$600 ,,Agriculture,E&L,S
AP571952,24,24,57,12,2010,A,P,$600 ,,Agriculture,E&L,S
AP649889,29,26,64,28,2010,A,P,$600 ,,Agriculture,E&L,S
AP702622,23,36,70,56,2010,A,P,$600 ,,Agriculture,E&L,S
AP1229301,35,83,81,122,1998,A,P,$600 ,,Biology,B,M
AP24587,14,24,,,2013,A,P,$600 ,,Biology,B,M
AP225878,22,12,,,2013,A,P,$600 ,,Chemistry,Sci,S
AP256932,21,25,,,2013,A,P,$600 ,,Chemistry,Sci,S
AP773983,10,32,77,9,2007,A,P,$600 ,,Computer science,M&C,S
AP1065181,41,57,106,24,2010,A,P,$600 ,,Computer science,M&C,S
AP592733,17,31,59,30,2010,A,P,$600 ,,Computer science,M&C,S
AP412997,14,14,41,29,2010,A,P,$600 ,,Engineering,E&T,S
AP613715,10,27,61,16,2010,A,P,$600 ,,Engineering,E&T,S
AP664916,46,25,66,14,2010,A,P,$600 ,,Engineering,E&T,S
AP738656,40,28,73,54,2010,A,P,$600 ,,Engineering,E&T,S
AP26739,26,26,,,2013,A,P,$600 ,,Engineering,E&T,S
AP364635,36,23,,,2013,A,P,$600 ,,Engineering,E&T,S
AP682905,28,68,,,2013,A,P,$600 ,,Engineering,E&T,S
AP1812606,60,45,181,151,1978,A,P,$600 ,,Mathematics,M&C,S
AP55578,23,29,55,41,2010,A,P,$600 ,,Mathematics,M&C,S
